Bedrooms,Bathrooms,Square Footage,Address,Price
"2
beds",2,"1,000
sq.ft.","2434 W 47th Place Chicago, IL 60632","$325,000"
"3
beds",2,"1,341
sq.ft.","1935 S Archer Avenue , 515 Chicago, IL 60616","$375,000"
"1
beds",1,"849
sq.ft.","440 N Wabash Avenue 2008 Chicago, IL 60611","$279,000"
"4
beds",3,"2,058
sq.ft.","6540 W 64th Street Chicago, IL 60638","$459,900"
"2
beds",2,"1,840
sq.ft.","3837 W 109th Street Chicago, IL 60655","$373,000"
"3
beds",3,"2,300
sq.ft.","5127 N Monterey Avenue N Norridge, IL 60706","$429,000"
"3
beds",2,"1,208
sq.ft.","2307 N Avers Avenue 2 Chicago, IL 60647","$550,000"
"3
beds",2,"1,976
sq.ft.","3843 W 81st Place Chicago, IL 60652","$380,000"
"4
beds",2,"1,000
sq.ft.","8319 S Kenwood Avenue Chicago, IL 60619","$215,000"
"4
beds",3,"2,128
sq.ft.","7622 S Loomis Boulevard Chicago, IL 60620","$380,000"
"4
beds",3,"2,800
sq.ft.","4821 W Crystal Street Chicago, IL 60651","$465,000"
"3
beds",3,"2,060
sq.ft.","367 W Locust Street 407 Chicago, IL 60610","$875,000"
"3
beds",3,"1,609
sq.ft.","1718 N Clybourn Avenue 1 Chicago, IL 60614","$725,000"
"2
beds",1,"866
sq.ft.","1048 W Foster Avenue C Chicago, IL 60640","$275,000"
"1
beds",1,"995
sq.ft.","10 E Ontario Street 3609 Chicago, IL 60611","$295,000"
"5
beds",5,"6,400
sq.ft.","545 W Dickens Avenue Chicago, IL 60614","$3,500,000"
"2
beds",2,"980
sq.ft.","1069 W 14th Place 223 Chicago, IL 60608","$350,000"
"2
beds",2,"1,500
sq.ft.","240 E ILLINOIS Street 307 Chicago, IL 60611","$425,000"
"4
beds",3,"3,079
sq.ft.","7315 S California Avenue Chicago, IL 60629","$364,900"
"4
beds",3,"2,500
sq.ft.","1402 W Chestnut Street 3 Chicago, IL 60642","$1,200,000"
"3
beds",2,"1,704
sq.ft.","1926 N Lincoln Park West 4B Chicago, IL 60614","$749,000"
"2
beds",1,"1,250
sq.ft.","1542 W School Street G Chicago, IL 60657","$589,000"
"2
beds",2,"1,027
sq.ft.","1460 N SANDBURG Terrace 2011A Chicago, IL 60610","$290,000"
"2
beds",1,"910
sq.ft.","1618 W Columbia Avenue 1N Chicago, IL 60626","$219,000"
"3
beds",1,"1,569
sq.ft.","9527 S Damen Avenue Chicago, IL 60643","$424,000"
"3
beds",1,"1,296
sq.ft.","6308 W Cornelia Avenue Chicago, IL 60634","$335,000"
"2
beds",1,"1,000
sq.ft.","5853 W Newport Avenue Chicago, IL 60634","$285,500"
"2
beds",2,"1,573
sq.ft.","900 W Washington Boulevard 402 Chicago, IL 60607","$999,999"
"1
beds",1,"650
sq.ft.","Chicago, IL 60614","$292,900"
"2
beds",2,"1,200
sq.ft.","480 N Mcclurg Court 901 Chicago, IL 60611","$399,999"
"3
beds",2,"1,900
sq.ft.","360 E Randolph Street 3201 Chicago, IL 60601","$1,175,000"
"3
beds",2,"4,822
sq.ft.","711 N Milwaukee Avenue 2 Chicago, IL 60642","$1,195,000"
"2
beds",2,"1,450
sq.ft.","360 E Randolph Street 3902 Chicago, IL 60601","$759,000"
"3
beds",3,"1,850
sq.ft.","632 W BARRY Avenue 1S Chicago, IL 60657","$700,000"
"3
beds",2,"2,400
sq.ft.","2500 N 74th Avenue 1S Elmwood Park, IL 60707","$465,000"
"3
beds",1,"1,732
sq.ft.","844 Prospect Street Elgin, IL 60644","$304,999"
"1
beds",1,"1,100
sq.ft.","331 S Peoria Street 401 Chicago, IL 60607","$350,000"
"2
beds",2,"1,650
sq.ft.","777 N Michigan Avenue 3701 Chicago, IL 60611","$629,000"
"2
beds",2,"1,537
sq.ft.","230 W Division Street 501 Chicago, IL 60610","$599,000"
"3
beds",3,"2,637
sq.ft.","19 W 15th Street Chicago, IL 60605","$1,315,000"
"5
beds",4,"5,212
sq.ft.","6012 N Ionia Avenue Chicago, IL 60646","$2,495,000"
"1
beds",1,"706
sq.ft.","195 N HARBOR Drive 207 Chicago, IL 60601","$275,000"
"1
beds",1,"830
sq.ft.","6301 N Sheridan Road 2U Chicago, IL 60660","$135,000"
"1
beds",1,"800
sq.ft.","6301 N Sheridan Road 20D Chicago, IL 60660","$185,000"
"2
beds",1,"875
sq.ft.","4518 W Wellington Avenue 4518-2 Chicago, IL 60641","$169,000"
"2
beds",2,"1,070
sq.ft.","3626 N Oriole Avenue Chicago, IL 60634","$450,000"
"2
beds",2,"1,235
sq.ft.","2 E ERIE Street 2102 Chicago, IL 60611","$535,000"
"3
beds",2,"1,532
sq.ft.","1419 N OAKLEY Boulevard Chicago, IL 60622","$749,000"
"2
beds",1,"1,100
sq.ft.","707 W JUNIOR Terrace 3S Chicago, IL 60613","$279,900"
"3
beds",2,"1,600
sq.ft.","4170 N Marine Drive 6L Chicago, IL 60613","$485,900"
"3
beds",2,"1,163
sq.ft.","14116 S Hoxie Avenue Burnham, IL 60633","$226,999"
"1
beds",1,"1,148
sq.ft.","1530 S State Street 1127 Chicago, IL 60605","$385,000"
"2
beds",2,"1,323
sq.ft.","1629 S PRAIRIE Avenue 1402 Chicago, IL 60616","$477,000"
"2
beds",2,"1,350
sq.ft.","130 S CANAL Street 517 Chicago, IL 60606","$465,000"
"5
beds",4,"10,250
sq.ft.","1407 N Hoyne Avenue Chicago, IL 60622","$5,995,000"
"1
beds",1,"800
sq.ft.","4920 N Marine Drive 411 Chicago, IL 60640","$155,000"
"2
beds",2,"1,520
sq.ft.","1122 N Dearborn Street 10A Chicago, IL 60610","$725,000"
"3
beds",1,"1,868
sq.ft.","2031 N 76th Court Elmwood Park, IL 60707","$464,900"
"2
beds",2,"950
sq.ft.","3052 W 107th Street Chicago, IL 60655","$325,000"
"4
beds",3,"2,320
sq.ft.","1310 N Mayfield Avenue Chicago, IL 60651","$429,900"
"3
beds",2,"1,161
sq.ft.","7840 S Springfield Avenue Chicago, IL 60652","$230,000"
"4
beds",3,"3,015
sq.ft.","4565 N Potawatomie Avenue Chicago, IL 60656","$899,000"
"2
beds",2,"1,520
sq.ft.","1122 N Dearborn Street 7A Chicago, IL 60610","$625,000"
"2
beds",2,"1,300
sq.ft.","635 N Dearborn Street 2604 Chicago, IL 60654","$495,000"
