bedrooms,bathrooms,square_footage,address,price
3,2,1750,"2430 N Normandy Avenue Chicago, IL 60707",480000.0
3,3,1870,"7642 S Merrill Avenue Chicago, IL 60649",447000.0
3,3,3392,"7733 S Luella Avenue Chicago, IL 60649",439000.0
4,3,2140,"8821 S PRINCETON Avenue Chicago, IL 60620",399900.0
4,1,1317,"1300 S 49th Avenue Cicero, IL 60804",350000.0
2,2,1500,"6033 N Sheridan Road 19K Chicago, IL 60660",349000.0
1,1,934,"1235 S PRAIRIE Avenue 3206 Chicago, IL 60605",340000.0
3,1,1350,"4744 N Kilbourn Avenue Chicago, IL 60630",329999.0
3,2,1550,"2226 W Monroe Street 4 Chicago, IL 60612",329000.0
5,2,836,"5730 S WASHTENAW Avenue Chicago, IL 60629",319000.0
3,2,1500,"2226 W Monroe Street 3 Chicago, IL 60612",319000.0
4,3,2700,"7339 S Evans Avenue Chicago, IL 60619",319000.0
2,2,1200,"9143 S Wabash Avenue Chicago, IL 60619",315000.0
1,1,750,"1212 N LASALLE Street 2107 Chicago, IL 60610",275000.0
2,2,891,"9728 S Greenwood Avenue Chicago, IL 60628",274900.0
2,1,1000,"3558 W Belle Plaine Avenue 3 Chicago, IL 60618",255000.0
3,1,991,"10643 S TROY Street Chicago, IL 60655",225000.0
2,2,1400,"3022 W Washington Boulevard 2 Chicago, IL 60612",225000.0
1,1,650,"4144 N Sheridan Road 409 Chicago, IL 60613",180000.0
2,2,1069,"12600 S Stewart Avenue Chicago, IL 60628",170000.0
3,1,1134,"219 E 136th Street Chicago, IL 60827",165000.0
2,2,1525,"5300 S Shore Drive 59 Chicago, IL 60615",158500.0
3,1,1186,"Chicago, IL 60620",155000.0
4,2,1252,"13041 S Eberhart Avenue Chicago, IL 60827",135000.0
2,1,1300,"6953 S Loomis Boulevard Chicago, IL 60636",129900.0
3,1,1300,"8607 S Morgan Street Chicago, IL 60620",110000.0
1,1,944,"12026 S Kildare Avenue 16 Alsip, IL 60803",98500.0
1,1,1000,"5337 S Ellis Avenue 1C Chicago, IL 60615",94500.0
11,2,2712,"1320 N Homan Ave Chicago, IL 60651",249900.0
1,1,755,"535 N Michigan Avenue , 1906 Chicago, IL 60611",229000.0
3,3,2800,"804 E 41st Street NA Chicago, IL 60653",360000.0
4,2,1112,"4132 S Mozart Street Chicago, IL 60632",350000.0
2,1,1105,"3841 N Page Avenue Chicago, IL 60634",329900.0
1,1,675,"235 W VAN BUREN Street 2721 Chicago, IL 60607",282000.0
2,2,1085,"234 W Polk Street 2610 Chicago, IL 60607",675000.0
2,3,1188,"5243 W OAKDALE Avenue Chicago, IL 60641",449500.0
