bedrooms,bathrooms,square_footage,address,price
4,3,2500,"4530 N MAGNOLIA Avenue 3S Chicago, IL 60640",619000
2,2,1450,"530 N LAKE SHORE Drive 2408 Chicago, IL 60611",550000
4,3,2750,"4250 N Marine Drive 1622 Chicago, IL 60613",524999
2,2,1153,"333 W Hubbard Street 3M Chicago, IL 60654",520000
2,2,1350,"1444 N Orleans Street 6J Chicago, IL 60610",489000
2,2,1443,"1600 S Prairie Avenue 803 Chicago, IL 60616",474900
2,2,1380,"208 W Washington Street 711 Chicago, IL 60606",439900
2,2,1250,"1400 S Michigan Avenue 1504 Chicago, IL 60605",430000
2,2,1150,"345 W Fullerton Parkway 503 Chicago, IL 60614",425000
2,2,1293,"1530 S State Street 17P Chicago, IL 60605",415000
4,3,3095,"7747 S Rhodes Avenue Chicago, IL 60619",369900
4,3,1400,"3229 W 65TH Place Chicago, IL 60629",349900
2,1,1200,"1316 W Fargo Avenue 308 Chicago, IL 60626",315000
4,2,3741,"8059 S Morgan Street Chicago, IL 60620",310000
3,1,2150,"5121 S Trumbull Avenue Chicago, IL 60632",299900
2,1,1000,"2540 N Sacramento Avenue 1 Chicago, IL 60647",290000
3,2,1200,"7943 S Blackstone Avenue Chicago, IL 60619",290000
4,2,1200,"9315 S Clyde Avenue Chicago, IL 60617",290000
3,1,1000,"6328 S Kostner Avenue Chicago, IL 60629",285000
1,1,914,"600 S Dearborn Street 1603 Chicago, IL 60605",279000
4,2,2021,"11212 S Hermosa Avenue Chicago, IL 60643",279000
2,1,866,"1048 W Foster Avenue C Chicago, IL 60640",275000
4,2,896,"5203 S Kilpatrick Avenue Chicago, IL 60632",270000
3,2,1160,"446 E 95th Street Chicago, IL 60619",268000
1,1,900,"850 N DEWITT Place 11D Chicago, IL 60611",220000
3,1,1513,"750 W 144th Street Riverdale, IL 60827",219000
4,2,2108,"7526 S Merrill Avenue Chicago, IL 60649",200000
2,1,979,"3658 W 79th Place Chicago, IL 60652",190000
3,1,1200,"2149 E 90th Street Chicago, IL 60617",189900
2,1,1020,"7600 S Euclid Avenue Chicago, IL 60649",189000
2,1,1300,"6101 N Sheridan Road 14C Chicago, IL 60660",189000
1,1,750,"6030 N Sheridan Road 1810 Chicago, IL 60660",183000
4,1,2100,"1622 S Central Park Avenue Chicago, IL 60623",129900
2,1,974,"722 E 105th Street Chicago, IL 60628",120000
4,1,1378,"9037 S Ada Street Chicago, IL 60620",100000
4,2,1800,"6725 S Prairie Avenue Chicago, IL 60637",99900
3,3,2035,"1242 N Lake Shore Drive 4N Chicago, IL 60610",1050000
3,2,1820,"1400 W Monroe Street 5E Chicago, IL 60607",950000
2,2,2000,"990 N Lake Shore Drive 7C Chicago, IL 60611",799000
3,2,2100,"750 N Noble Street B Chicago, IL 60642",700000
2,2,1297,"125 S Green Street 603A Chicago, IL 60607",640000
5,3,2800,"11236 S Lawler Avenue Alsip, IL 60803",599000
1,1,1244,"340 E Randolph Street 1106 Chicago, IL 60601",555000
2,2,1295,"201 N Westshore Drive 2508 Chicago, IL 60601",535000
2,2,1250,"700 N LARRABEE Street 1308 Chicago, IL 60654",525000
4,2,2860,"8118 W COURTLAND Avenue Norridge, IL 60706",509000
4,3,2650,"5415 S Oak Park Avenue Chicago, IL 60638",459900
2,2,1100,"257 East Delaware Place #7C Chicago, IL 60611",450000
3,1,1000,"6933 W Berwyn Avenue Chicago, IL 60656",424999
3,1,864,"6949 W Montrose Avenue Harwood Heights, IL 60706",360000
2,1,905,"2 E Erie Street 2806 Chicago, IL 60611",349999
2,2,1250,"222 E Chestnut Street 3D Chicago, IL 60610",325000
3,3,1800,"7832 S Evans Avenue Chicago, IL 60619",320000
2,2,1080,"8 W Monroe Street 1007 Chicago, IL 60603",315000
3,2,849,"6858 S Kedvale Avenue Chicago, IL 60629",299900
1,1,800,"1212 N LaSalle Drive 802 Chicago, IL 60610",280000
4,3,1789,"7636 S Loomis Boulevard Chicago, IL 60620",279900
3,1,1400,"7501 S ABERDEEN Avenue Chicago, IL 60620",275000
3,2,1311,"11549 S Kilbourn Avenue Alsip, IL 60803",269873
2,2,1800,"5000 S Cornell Avenue 21B Chicago, IL 60615",250000
2,1,980,"12510 S Edbrooke Avenue Chicago, IL 60628",249900
3,2,1300,"2323 W Pershing Road 402 Chicago, IL 60609",249900
1,1,550,"1634 N Milwaukee Avenue 3F Chicago, IL 60647",249000
5,2,2268,"7744 S Laflin Street Chicago, IL 60620",249000
2,1,980,"6587 N Northwest Highway 1 Chicago, IL 60631",230000
2,1,950,"3115 N Nashville Avenue 2E Chicago, IL 60634",224900
3,1,1134,"7047 S Winchester Avenue Chicago, IL 60636",215000
3,1,769,"12216 S Carpenter Street Chicago, IL 60643",210000
1,1,880,"850 N Dewitt Place 12G Chicago, IL 60611",210000
1,1,875,"230 E Ontario Street 2201 Chicago, IL 60611",205000
3,1,1088,"4924 S Lorel Avenue Chicago, IL 60638",200000
1,1,985,"1223 W Lunt Avenue 2A Chicago, IL 60626",184000
3,1,1240,"9134 S Marquette Avenue Chicago, IL 60617",139900
6,2,1972,"220 N Lorel Avenue Chicago, IL 60644",109000
2,1,800,"1756 W 35TH Street 2R Chicago, IL 60609",99900
3,1,1494,"12013 S Princeton Avenue Chicago, IL 60628",89900
3,1,945,"13749 S Wabash Avenue Riverdale, IL 60827",52500
3,2,2850,"161 E CHICAGO Avenue 33DE Chicago, IL 60611",1249500
5,3,3600,"4930 S Martin Luther King Drive Chicago, IL 60653",949000
4,2,2500,"1308 W Addison Street 1E Chicago, IL 60613",899000
3,2,1700,"2414 N Sawyer Avenue 2D Chicago, IL 60647",819999
3,2,1978,"4343 N Richmond Avenue 3N Chicago, IL 60618",799000
2,2,1159,"234 W Polk Street 2905 Chicago, IL 60607",630000
3,4,1728,"7411 W Isham Avenue Chicago, IL 60631",630000
